deviceID,lastMeasureTime
I035,2024-09-27T08:38:10Z
D002,2024-09-27T08:28:18Z
I029,2024-09-27T08:03:38Z
J002,2024-09-23T12:16:53Z
D001,2026-11-01T09:02:00Z
I023,2024-09-27T08:21:21Z
I045,2024-09-27T08:26:36Z
I036,2024-09-27T07:14:16Z
I041,2024-09-27T08:17:56Z
I031,2024-09-27T09:01:21Z
D003,2024-09-27T08:59:39Z
D005,2024-09-27T08:40:53Z
I038,2024-09-27T08:49:12Z
I033,2024-09-27T08:05:29Z
I039,2024-09-27T08:43:45Z
I028,2024-09-27T08:26:23Z
I024,2024-09-27T08:04:09Z
I026,2024-09-27T08:59:23Z
I025,2024-09-27T07:36:38Z
I042,2024-09-27T08:56:01Z
I046,2024-09-27T08:18:50Z
I027,2024-09-27T08:23:40Z
I030,2024-09-27T08:06:32Z
I034,2024-09-27T08:01:47Z
I032,2024-09-27T08:34:26Z
36231669,2024-11-27T17:00:00Z
36231670,2024-11-27T15:00:00Z
36231677,2024-11-28T09:00:00Z
36231672,2024-11-27T16:00:00Z
000008DD,2024-09-21T18:00:00Z
000008E0,2024-09-27T00:00:00Z
000008E4,2024-09-27T00:00:00Z
000008F7,2024-09-27T00:00:00Z
000025BD,2024-09-27T00:15:00Z
00204B21,2024-09-27T00:00:00Z
00204EB1,2024-09-27T00:00:00Z
TS01,2024-09-27T00:30:00Z
TS02,2024-09-27T00:30:00Z
TS027,2024-09-27T00:30:00Z
TS032,2024-09-27T00:30:01Z
TS03,2024-09-27T00:30:00Z
TS04,2024-09-27T00:30:00Z
TS05,2024-09-27T00:30:00Z
TS06,2024-09-27T00:30:00Z
TS07,2024-09-27T00:30:00Z
TS08,2024-09-27T00:30:00Z
z6-19948,2024-09-26T21:00:00Z
z6-19947,2024-09-26T21:00:00Z
000279,2024-09-26T02:53:00Z
000282,2024-09-26T02:56:00Z
000269,2024-09-26T03:12:00Z
J001,2024-09-21T02:44:10Z
J003,2024-10-20T09:01:00Z
